Rank,Title,Year,Rating,Director
8.259772812165288,Иди и смотри,1985,8.3,Elem Klimov 
8.258440933005728,Бешеные псы,1992,8.3,Quentin Tarantino 
8.257437905127816,Охота,2012,8.3,Thomas Vinterberg 
8.24947642192742,Гражданин Кейн,1941,8.2,Orson Welles 
8.249211344324749,Лоуренс Аравийский,1962,8.2,David Lean 
8.248965943061613,М убийца,1931,8.2,Fritz Lang 
8.245298723156976,На север через северо-запад,1959,8.2,Alfred Hitchcock 
8.244803263893878,Ikiru,1952,8.2,Akira Kurosawa 
8.242569419339194,Головокружение,1958,8.2,Alfred Hitchcock 
8.241749419663643,Квартира,1960,8.2,Billy Wilder 
8.240729185496255,Амели,2001,8.2,Jean-Pierre Jeunet 
8.237971234887624,Двойная страховка,1944,8.2,Billy Wilder 
8.23783093736404,A Clockwork Orange,1971,8.2,Stanley Kubrick 
8.236688936677446,Цельнометаллическая оболочка,1987,8.2,Stanley Kubrick 
8.234887283333297,Лицо со шрамом,1983,8.2,Brian De Palma 
8.231005511647124,Гамильтон,2020,8.2,Thomas Kail 
8.227115743016576,Пожары,2010,8.2,Denis Villeneuve 
8.225937230936495,Схватка,1995,8.2,Michael Mann 
8.225427275377534,Убить пересмешника,1962,8.2,Robert Mulligan 
8.224787213288069,Вверх,2009,8.2,Pete Docter 
8.224476626145943,Афера,1973,8.2,George Roy Hill 
8.221344859520707,Развод Надера и Симин,2011,8.2,Asghar Farhadi 
8.220866720068404,Метрополис,1927,8.2,Fritz Lang 
8.21870907918272,Таксист,1976,8.2,Martin Scorsese 
8.218273365827812,Секреты Лос-Анджелеса,1997,8.2,Curtis Hanson 
8.217587819785251,Крепкий орешек,1988,8.2,John McTiernan 
8.216683225057565,Большой куш,2000,8.2,Guy Ritchie 
8.216628334598886,Индиана Джонс и последний крестовый поход,1989,8.2,Steven Spielberg 
8.21552590090446,Похитители велосипедов,1948,8.2,Vittorio De Sica 
8.214135294077032,Топ Ган: Мэверик,2022,8.2,Joseph Kosinski 
8.212390337552703,Звёздочки на земле,2007,8.2,Aamir Khan 
8.21123525790558,1917,2019,8.2,Sam Mendes 
8.203134250121952,Бункер,2004,8.2,Oliver Hirschbiegel 
8.199953422224375,Дангал,2016,8.2,Nitesh Tiwari 
8.19886123573759,На несколько долларов больше,1965,8.2,Sergio Leone 
8.19709879750906,Бэтмен: Начало,2005,8.2,Christopher Nolan 
8.190758744464443,Малыш,1921,8.2,Charles Chaplin 
8.190287742066435,В джазе только девушки,1959,8.2,Billy Wilder 
8.181978054083878,Отец,2020,8.2,Florian Zeller 
8.180103317781304,All About Eve,1950,8.2,Joseph L. Mankiewicz 
8.178339618878312,Волк с Уолл-стрит,2013,8.2,Martin Scorsese 
8.177708490986564,Зеленая книга,2018,8.2,Peter Farrelly 
8.17643724851128,Джон Уик 4,2023,8.2,Chad Stahelski 
8.17175004769748,Нюрнбергский процесс,1961,8.2,Stanley Kramer 
8.164743013322628,Ран,1985,8.2,Akira Kurosawa 
8.16394935590939,Казино,1995,8.2,Martin Scorsese 
8.161670130454516,Шоу Трумана,1998,8.2,Peter Weir 
8.16080419251328,Нефть,2007,8.2,Paul Thomas Anderson 
8.160200301045654,Лабиринт Фавна,2006,8.2,Guillermo del Toro 
8.158398461677457,Непрощенный,1992,8.2,Clint Eastwood 
8.154759051032967,Шестое чувство,1999,8.2,M. Night Shyamalan 
8.153756619046785,Остров проклятых,2010,8.2,Martin Scorsese 
8.150728468453927,Игры разума,2001,8.2,Ron Howard 
8.149724493665614,Парк юрского периода,1993,8.1,Steven Spielberg 
8.147174338327266,Телохранитель,1961,8.1,Akira Kurosawa 
8.146871394719803,The Treasure of the Sierra Madre,1948,8.1,John Huston 
8.14507291026183,Монти Пайтон и священный Грааль,1975,8.1,Terry Gilliam 
8.14044658220603,Старикам тут не место,2007,8.1,Ethan Coen 
8.139493595733024,Большой побег,1963,8.1,John Sturges 
8.139090744491023,Убить Билла,2003,8.1,Quentin Tarantino 
8.137263641973583,Расёмон,1950,8.1,Akira Kurosawa 
8.134157972880123,Нечто,1982,8.1,John Carpenter 
8.133632270240525,Человек-паук: Нет пути домой,2021,8.1,Jon Watts 
8.131287019183995,В поисках Немо,2003,8.1,Andrew Stanton 
8.126805805452353,Человек-слон,1980,8.1,David Lynch 
8.125094144336659,Китайский квартал,1974,8.1,Roman Polanski 
8.122531925863923,Бешеный бык,1980,8.1,Martin Scorsese 
8.122327137285248,«V» значит Вендетта,2005,8.1,James McTeigue 
8.121359358476402,Унесённые ветром,1939,8.1,Victor Fleming 
8.119921498414941,"Карты, деньги, два ствола",1998,8.1,Guy Ritchie 
8.119706458782543,В случае убийства набирайте «М»,1954,8.1,Alfred Hitchcock 
8.119526713941159,Головоломка,2015,8.1,Pete Docter 
8.117950049900784,Тайна в его глазах,2009,8.1,Juan José Campanella 
8.117542747526112,Ходячий замок,2004,8.1,Hayao Miyazaki 
8.1113354923898,"Три билборда на границе Эббинга, Миссури",2017,8.1,Martin McDonagh 
8.110328277957814,На игле,1996,8.1,Danny Boyle 
8.109852217078139,Мост через реку Квай,1957,8.1,David Lean 
8.107072780525007,Пленницы,2013,8.1,Denis Villeneuve 
8.102424613681238,Воин,2011,8.1,Gavin O'Connor 
8.102372147841464,Фарго,1996,8.1,Joel Coen 
8.100130617348604,Гран Торино,2008,8.1,Clint Eastwood 
8.091926792181892,Мой сосед Тоторо,1988,8.1,Hayao Miyazaki 
8.091746273055273,"Поймай меня, если сможешь",2002,8.1,Steven Spielberg 
8.088541694554698,Малышка на миллион,2004,8.1,Clint Eastwood 
8.086115972444595,Дети небес,1997,8.1,Majid Majidi 
8.084570379380677,Бегущий по лезвию,1982,8.1,Ridley Scott 
8.084350437884787,The Gold Rush,1925,8.1,Charles Chaplin 
8.08186903974335,Клаус,2019,8.1,Sergio Pablos 
8.08109409057736,Гарри Поттер и Дары смерти: Часть II,2011,8.1,David Yates 
8.080928411200668,Перед рассветом,1995,8.1,Richard Linklater 
8.080488424535623,12 лет рабства,2013,8.1,Steve McQueen 
8.078334794260357,В порту,1954,8.1,Elia Kazan 
8.077898081431321,Бен-Гур,1959,8.1,William Wyler 
8.077572402648082,Отель «Гранд Будапешт»,2014,8.1,Wes Anderson 
8.076995578327706,Исчезнувшая,2014,8.1,David Fincher 
8.075678919506835,Земляничная поляна,1957,8.1,Ingmar Bergman 
8.074817169389608,Паровоз Генерал,1926,8.1,Clyde Bruckman 
8.073822385865604,Барри Линдон,1975,8.1,Stanley Kubrick 
8.073674522446847,Во имя отца,1993,8.1,Jim Sheridan 
8.073045396377154,Охотник на оленей,1978,8.1,Michael Cimino 
8.072778249917409,Третий человек,1949,8.1,Carol Reed 
8.071366596118372,По соображениям совести,2016,8.1,Mel Gibson 
8.069927611912433,Плата за страх,1953,8.1,Henri-Georges Clouzot 
8.069355219037634,Воспоминания об убийстве,2003,8.1,Bong Joon Ho 
8.067826197880276,Шерлок младший,1924,8.1,Buster Keaton 
8.067550859737077,Дикие истории,2014,8.1,Damián Szifron 
8.066158640507064,Мистер Смит едет в Вашингтон,1939,8.1,Frank Capra 
8.063589207433026,Безумный Макс: Дорога ярости,2015,8.1,George Miller 
8.062701123992436,Мэри и Макс,2009,8.1,Adam Elliot 
8.061663695117213,Седьмая печать,1957,8.1,Ingmar Bergman 
8.061353071560589,Как приручить дракона,2010,8.1,Dean DeBlois 
8.060807011262595,Корпорация монстров,2001,8.1,Pete Docter 
8.060052952003039,Челюсти,1975,8.1,Steven Spielberg 
8.060030125958729,Общество мёртвых поэтов,1989,8.1,Peter Weir 
8.059767940402237,Комната,2015,8.1,Lenny Abrahamson 
8.057928574370655,Большой Лебовски,1998,8.1,Joel Coen 
8.054995960401062,Токийская повесть,1953,8.1,Yasujirô Ozu 
8.052694304859127,Страсти Жанны д'Арк,1928,8.1,Carl Theodor Dreyer 
